entity,added,deleted,commits
scripts/tasks/generate-changelog/summaries.js,306,0,1
packages/react-dom/src/__tests__/ReactServerRenderingHydration-test.js,306,242,5
packages/eslint-plugin-react-hooks/src/index.ts,303,186,16
packages/react-devtools-shared/src/devtools/views/Components/TreeContext.js,302,251,11
packages/react-reconciler/src/__tests__/ReactErrorStacks-test.js,301,95,8
compiler/packages/babel-plugin-react-compiler/src/HIR/ScopeDependencyUtils.ts,301,20,4
compiler/packages/babel-plugin-react-compiler/docs/passes/40-validateUseMemo.md,299,0,1
packages/react-flight-server-fb/src/client/ReactFlightDOMClientBrowser.js,295,0,1
packages/react-reconciler/src/__tests__/ReactDeferredValue-test.js,293,31,7
fixtures/flight-ssr-bench/src/components/data.js,293,0,1
compiler/packages/eslint-plugin-react-compiler/src/shared/RunReactCompiler.ts,292,61,5
compiler/packages/react-mcp-server/src/tools/runtimePerf.ts,292,154,3
fixtures/view-transition/src/components/SwipeRecognizer.js,292,36,8
compiler/packages/babel-plugin-react-compiler/docs/passes/31-codegenReactiveFunction.md,289,3,2
packages/react-native-renderer/src/ReactFiberConfigNative.js,288,875,29
compiler/packages/babel-plugin-react-compiler/docs/passes/50-validateNoFreezingKnownMutableFunctions.md,285,0,1
packages/react-reconciler/src/forks/ReactFiberConfig.noop.js,282,1,2
compiler/packages/snap/src/runner-watch.ts,281,59,5
compiler/CLAUDE.md,279,18,7
packages/eslint-plugin-react-hooks/src/shared/ReactCompiler.ts,278,70,5
compiler/packages/babel-plugin-react-compiler/src/Inference/AliasingEffects.ts,275,11,6
scripts/shared/inlinedHostConfigs.js,272,125,12
packages/react/src/jsx/ReactJSXElement.js,272,454,9
compiler/packages/babel-plugin-react-compiler/src/Optimization/OptimizeForSSR.ts,271,8,2
packages/react-dom/src/__tests__/ReactDOMHydrationDiff-test.js,270,139,4
flow-typed/environments/geometry.js,270,0,1
packages/react-test-renderer/src/ReactFiberConfigTestHost.js,269,22,25
compiler/packages/babel-plugin-react-compiler/docs/passes/49-validateNoRefAccessInRender.md,268,0,1
packages/react-native-renderer/src/ReactFiberConfigFabricWithViewTransition.js,268,0,3
packages/react-server-dom-esm/src/server/ReactFlightDOMServerNode.js,265,49,8
packages/react-dom/src/__tests__/ReactDOMForm-test.js,263,90,11
