entity,age-months
compiler/packages/babel-plugin-react-compiler/src/ReactiveScopes/InferReactiveScopeVariables.ts,1
packages/react-server/src/ReactFlightServer.js,1
packages/internal-test-utils/internalAct.js,1
packages/react-devtools-shared/src/devtools/store.js,1
fixtures/flight-ssr-bench/src/components/Header.js,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/invalid-setState-in-useEffect-new-expression-default-param.expect.md,1
packages/react-reconciler/src/__tests__/ActivityStrictMode-test.js,1
fixtures/flight-ssr-bench/src/components/Avatar.js,1
compiler/CLAUDE.md,1
compiler/apps/playground/__tests__/e2e/page.spec.ts,1
packages/react-reconciler/src/ReactFiberConfigWithNoMutation.js,1
packages/internal-test-utils/ReactInternalTestUtils.js,1
packages/react-reconciler/src/ReactFiberCommitViewTransitions.js,1
fixtures/flight-ssr-bench/src/App.js,1
scripts/rollup/wrappers.js,1
packages/react-client/src/__tests__/ReactFlight-test.js,1
packages/react-native-renderer/src/ReactNativeComponentTree.js,1
packages/react-native-renderer/src/__mocks__/react-native/Libraries/ReactPrivate/UIManager.js,1
packages/shared/forks/ReactFeatureFlags.native-fb-dynamic.js,1
packages/react-native-renderer/src/LegacySyntheticEvent.js,1
fixtures/flight-ssr-bench/src/components/Dashboard.js,1
packages/react-native-renderer/src/ReactFiberConfigNative.js,1
compiler/apps/playground/package.json,1
compiler/packages/babel-plugin-react-compiler/src/Inference/MUTABILITY_ALIASING_MODEL.md,1
packages/react-noop-renderer/src/createReactNoop.js,1
fixtures/flight-ssr-bench/print-helpers.js,1
fixtures/flight-ssr-bench/render-helpers.js,1
fixtures/flight-ssr-bench/README.md,1
packages/react-native-renderer/src/ReactNativeEventTypeMapping.js,1
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.todo-preserve-memo-deps-mixed-optional-nonoptional-property-chain.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/new-mutability/shared-hook-calls.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/preserve-memo-deps-optional-property-chain.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/bailout-retry/error.todo-dynamic-gating.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/merge-consecutive-scopes-reordering.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.invalid-useLayoutEffect-dep-not-memoized.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.invalid-useMemo-async-callback.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/merge-consecutive-scopes-reordering.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/reactive-variable.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/emit-freeze-nonconflicting-global-reference.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.todo-allow-assigning-to-inferred-ref-prop-in-callback.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/reactive-optional-chain-complex.expect.md,2
packages/react-noop-renderer/src/ReactNoopFlightClient.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.todo-function-expression-references-later-variable-declaration.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/HIR/HIR.ts,2
compiler/packages/babel-plugin-react-compiler/src/HIR/CollectOptionalChainDependencies.ts,2
packages/react-noop-renderer/src/ReactNoop.js,2
packages/react-devtools-shared/src/devtools/ContextMenu/ContextMenu.js,2
packages/react-noop-renderer/src/ReactFiberConfigNoopTestSelectors.js,2
packages/react-noop-renderer/src/ReactNoopPersistent.js,2
compiler/packages/babel-plugin-react-compiler/src/Entrypoint/ValidateNoUntransformedReferences.ts,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/exhaustive-deps/error.invalid-exhaustive-deps.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/reactive-memberexpr.expect.md,2
fixtures/packaging/webpack-alias/dev/yarn.lock,2
packages/react-devtools-extensions/src/background/setExtensionIconAndPopup.js,2
compiler/yarn.lock,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/pruned-nonreactive-obj.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/transform-fire/error.invalid-rewrite-deps-spread.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/todo-optional-call-chain-in-optional.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/type-annotations/todo_type-annotations-props.expect.md,2
packages/react-devtools-shared/src/backend/agent.js,2
compiler/packages/babel-plugin-react-compiler/src/Transform/index.ts,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/exhaustive-deps/error.invalid-missing-nonreactive-dep-unmemoized.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.invalid-useInsertionEffect-dep-not-memoized.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/error.hook-call-freezes-captured-memberexpr.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/todo.lower-context-access-mixed-array-obj.expect.md,2
packages/react-noop-renderer/src/ReactFiberConfigNoopScopes.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/inline-jsx-transform.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/reactive-setState.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/transform-fire/error.invalid-not-call.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/envConfig-test.ts,2
packages/react-devtools-shared/src/backend/fiber/shared/DevToolsFiberSuspense.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/bailout-retry/mutate-after-useeffect-ref-access.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/lower-context-selector-simple.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/infer-effect-dependencies/nonreactive-ref.js,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/use-no-forget-multiple-with-eslint-suppression.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/rename-source-variables-nested-object-method.expect.md,2
compiler/packages/babel-plugin-react-compiler/src/__tests__/fixtures/compiler/allow-ref-access-in-event-handler-wrapper.expect.md,2
