entity,coupled,degree,average-revs
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,80,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,80,10
packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,80,10
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,80,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,80,10
packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,80,10
packages/react-server-dom-esm/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,80,10
packages/react-devtools-inline/package.json,packages/react-devtools/package.json,80,10
packages/react/src/ReactServer.experimental.development.js,packages/react/src/ReactServer.experimental.js,80,8
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.test-renderer.native-fb.js,78,57
packages/shared/ReactFeatureFlags.js,packages/shared/forks/ReactFeatureFlags.www.js,77,61
packages/react-noop-renderer/src/createReactNoop.js,packages/react-test-renderer/src/ReactFiberConfigTestHost.js,77,25
packages/react-art/src/ReactFiberConfigART.js,packages/react-reconciler/src/forks/ReactFiberConfig.custom.js,76,17
compiler/apps/playground/package.json,compiler/apps/playground/yarn.lock,76,13
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientBrowser.js,76,11
packages/react-server-dom-esm/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,76,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientNode.js,76,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientBrowser.js,packages/react-server-dom-webpack/src/client/ReactFlightDOMClientNode.js,76,11
packages/react-server-dom-parcel/src/client/ReactFlightDOMClientNode.js,packages/react-server-dom-turbopack/src/client/ReactFlightDOMClientBrowser.js,76,11
packages/react/index.development.js,packages/react/index.fb.js,76,7
packages/react/index.js,packages/react/index.stable.js,76,7
packages/react-art/src/ReactFiberConfigART.js,packages/react-native-renderer/src/ReactFiberConfigNative.js,75,20
